小寒,2025-01-05 10:32:31
大寒,2025-01-20 03:59:52
立春,2025-02-03 22:10:13
雨水,2025-02-18 18:06:18
惊蛰,2025-03-05 16:07:02
春分,2025-03-20 17:01:14
清明,2025-04-04 20:48:21
谷雨,2025-04-20 03:55:45
立夏,2025-05-05 13:56:57
小满,2025-05-21 02:54:23
芒种,2025-06-05 17:56:16
夏至,2025-06-21 10:42:00
小暑,2025-07-07 04:04:43
大暑,2025-07-22 21:29:11
立秋,2025-08-07 13:51:19
处暑,2025-08-23 04:33:35
白露,2025-09-07 16:51:41
秋分,2025-09-23 02:19:04
寒露,2025-10-08 08:40:57
霜降,2025-10-23 11:50:39
立冬,2025-11-07 12:03:48
小雪,2025-11-22 09:35:18
大雪,2025-12-07 05:04:20
冬至,2025-12-21 23:02:48
